sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-017,ses-02,activemotor,2024-02-14 16:16:02,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,19,25.0,197.0,True,False,1798.6144892796317,215.00049193692394,0.0
sub-017,ses-02,full,2024-02-12 12:05:38,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,73,25.0,203.5,True,False,1798.6144892796317,215.00049193692394,0.0
sub-017,ses-02,mentalarithmetic,2024-02-12 08:50:26,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,73,25.0,203.5,True,False,1798.6144892796317,215.00049193692394,0.0
sub-017,ses-02,motorimagery,2023-12-19 16:34:46,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,19,25.0,198.0,True,False,1798.6144892796317,215.00049193692394,0.0
sub-017,ses-02,nback,2023-12-12 17:05:04,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,121,25.0,204.5,False,True,,,
sub-017,ses-02,nbackarithmetic,2024-02-12 09:46:46,215.999784,33,250.00025000025002,250.0002209564761,215.99978399999998,73,25.0,203.5,True,True,1798.6144892796317,215.00049193692394,0.0
sub-017,ses-03,activemotor,2024-02-14 16:16:34,215.999568,33,250.00050000099998,250.00045378774817,215.999568,19,25.0,199.0,True,False,1789.5570306376997,215.00013322453015,0.0
sub-017,ses-03,full,2024-02-12 12:06:02,215.999568,33,250.00050000099998,250.00045378774817,215.999568,73,25.0,203.5,True,False,1789.5570306376997,215.00013322453015,0.0
sub-017,ses-03,mentalarithmetic,2024-02-12 08:50:50,215.999568,33,250.00050000099998,250.00045378774817,215.999568,73,25.0,203.5,True,False,1789.5570306376997,215.00013322453015,0.0
sub-017,ses-03,nback,2023-12-12 17:06:04,215.999568,33,250.00050000099998,250.00045378774817,215.999568,121,25.0,204.5,True,True,1789.5570306376997,215.00013322453015,0.0
sub-017,ses-03,nbackarithmetic,2024-02-12 09:47:12,215.999568,33,250.00050000099998,250.00045378774817,215.999568,73,25.0,203.5,True,True,1789.5570306376997,215.00013322453015,0.0
sub-018,ses-01,activemotor,2024-02-14 16:17:13,216.0,33,250.0,250.00004633330667,216.0,19,25.0,199.0,True,False,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,full,2024-02-12 12:06:32,216.0,33,250.0,250.00004633330667,216.0,73,25.0,203.5,True,False,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,mentalarithmetic,2024-02-12 08:51:20,216.0,33,250.0,250.00004633330667,216.0,73,25.0,203.5,True,False,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,motorimagery,2023-12-19 16:38:14,216.0,33,250.0,250.00004633330667,216.0,19,25.0,200.0,True,False,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,nback,2023-12-12 17:10:40,216.0,33,250.0,250.00004633330667,216.0,121,25.0,204.5,True,True,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,nbackarithmetic,2024-02-12 09:47:45,216.0,33,250.0,250.00004633330667,216.0,73,25.0,203.5,True,True,1787.0908627158412,215.00025992863812,0.0
sub-018,ses-01,passivemotor,2024-02-19 13:28:10,216.0,33,250.0,250.00004633330667,216.0,19,25.0,194.0,False,False,,,
sub-018,ses-02,activemotor,2024-02-14 16:17:47,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,19,25.0,197.0,True,False,1770.7021375980025,215.0000228250865,0.0
sub-018,ses-02,full,2024-02-12 12:06:59,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,73,25.0,203.5,True,False,1770.7021375980025,215.0000228250865,0.0
sub-018,ses-02,mentalarithmetic,2024-02-12 08:51:48,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,73,25.0,203.5,True,False,1770.7021375980025,215.0000228250865,0.0
sub-018,ses-02,motorimagery,2023-12-19 16:39:56,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,19,25.0,198.0,True,False,1770.7021375980025,215.0000228250865,0.0
sub-018,ses-02,nback,2023-12-12 17:11:56,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,121,25.0,204.5,True,True,1770.7021375980025,215.0000228250865,0.0
sub-018,ses-02,nbackarithmetic,2024-02-12 09:48:16,215.000215,33,249.99975000025003,249.99969708769964,215.00021499999997,73,25.0,203.5,True,True,1770.7021375980025,215.0000228250865,0.0
