sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-005,ses-02,motorimagery,250.00025000025002,21,20,2142.361001378859,252,0.9973853560873296,70.50982437286373,45.82179241812081,declared_unverified
sub-005,ses-02,nback,250.00025000025002,21,20,1629.07462638576,235,0.995814662980265,65.85692141955313,45.51840193662291,declared_unverified
sub-005,ses-02,nbackarithmetic,250.00025000025002,21,19,2518.323249523654,238,0.9771760892363428,67.96983335138398,42.503158127356976,event_matched
sub-005,ses-02,passivemotor,250.00025000025002,21,20,2707.4423496604627,242,0.9966274192010678,67.76331042264982,38.00221485332288,declared_unverified
sub-005,ses-03,activemotor,250.00050000099998,21,20,2909.5603090950503,236,0.9855477364817995,66.54299235283992,47.792335142049865,declared_unverified
sub-005,ses-03,full,250.00050000099998,21,20,2897.5450251105376,243,0.9953811120732133,68.12852826891357,42.361124363531594,declared_unverified
sub-005,ses-03,mentalarithmetic,250.00050000099998,21,19,2864.11101864023,245,0.9855094650127013,69.09413049002465,41.26788994799524,declared_unverified
sub-005,ses-03,motorimagery,250.00050000099998,21,20,2405.9926951364127,248,0.9857247420263786,69.92837316896289,42.40756967943692,declared_unverified
sub-005,ses-03,nback,250.00050000099998,21,20,3125.474965274118,232,0.9737553400659226,66.20247968819878,40.840575673192454,event_matched
sub-005,ses-03,nbackarithmetic,250.00050000099998,21,20,2955.9156613321193,243,0.9963283309333933,68.06375782639071,39.83440930662665,declared_unverified
sub-006,ses-01,activemotor,250.00075000225,21,20,913.6896339130602,0,0.0,,,declared_unverified
sub-006,ses-01,full,250.00075000225,21,20,1231.146587749558,0,0.0,,,declared_unverified
sub-006,ses-01,mentalarithmetic,250.00075000225,21,20,1885.606816204251,0,0.0,,,declared_unverified
sub-006,ses-01,motorimagery,250.00075000225,21,20,949.8442829474868,288,0.9973036515791723,80.58929411549227,36.108099716031056,declared_unverified
sub-006,ses-01,nback,250.00075000225,21,20,1178.8840193932963,313,0.978121528275253,89.30253618923128,44.08867233065607,event_matched
sub-006,ses-01,nbackarithmetic,250.00075000225,21,20,912.1505728652933,0,,,,event_matched
sub-006,ses-01,passivemotor,250.00075000225,21,20,959.326979379018,285,0.9963665060914457,79.82483203531619,39.06192903027894,declared_unverified
sub-006,ses-02,activemotor,250.00100000400002,21,20,858.7091083338976,0,0.0,,,declared_unverified
sub-006,ses-02,full,250.00100000400002,21,19,761.4132196750521,0,0.0,,,declared_unverified
sub-006,ses-02,mentalarithmetic,250.00100000400002,21,20,772.5296486856794,0,0.0,,,declared_unverified
sub-006,ses-02,motorimagery,250.00100000400002,21,20,874.4900650199572,293,0.9975954120556972,81.9644428008164,26.23124053109236,declared_unverified
sub-006,ses-02,nback,250.00100000400002,21,20,677.3617693971132,290,0.9961379421664555,81.24391239491668,27.939994352614594,declared_unverified
sub-006,ses-02,passivemotor,250.00100000400002,21,19,899.4239052831066,286,0.9956038530376616,80.1662886487198,30.63568973420789,declared_unverified
sub-006,ses-03,activemotor,250.00075000225,21,19,156.5686205243235,0,0.0,,,declared_unverified
sub-006,ses-03,full,250.00075000225,21,19,502.03752507216393,0,0.0,,,declared_unverified
sub-006,ses-03,mentalarithmetic,250.00075000225,21,20,162.69246028459798,0,0.0,,,declared_unverified
sub-006,ses-03,nback,250.00075000225,21,20,155.94519010459516,286,0.982051444694252,81.27262545486609,24.66214779153734,event_matched
sub-006,ses-03,nbackarithmetic,250.00075000225,21,20,978.5782944278645,0,0.0,,,event_matched
sub-006,ses-03,passivemotor,250.00075000225,21,20,151.83784293608238,293,0.9951604680720103,82.1650265558128,28.933495209803546,declared_unverified
sub-007,ses-01,full,250.00100000400002,21,20,235.56524533991393,353,0.9970347191886194,98.80449894952609,23.966425788761377,declared_unverified
sub-007,ses-01,mentalarithmetic,250.00100000400002,21,20,233.9347255872027,336,0.9972982469468766,94.02135770424067,21.11275920833454,declared_unverified
sub-007,ses-01,motorimagery,250.00100000400002,21,20,233.47973675967864,315,0.9968186739093274,88.18742973421195,30.957070936310544,declared_unverified
